fromTaz,toTaz,flow
taz_0,taz_1,1468
taz_0,taz_19,1582
taz_0,taz_2,1991
taz_0,taz_20,1328
taz_0,taz_3,624
taz_0,taz_31,1419
taz_1,taz_0,1474
taz_1,taz_19,972
taz_1,taz_2,400
taz_1,taz_20,1420
taz_1,taz_21,499
taz_1,taz_3,462
taz_1,taz_85,1645
taz_19,taz_0,1652
taz_19,taz_1,379
taz_19,taz_2,273
taz_19,taz_20,1259
taz_19,taz_3,347
taz_19,taz_31,1591
taz_2,taz_0,713
taz_2,taz_1,1351
taz_2,taz_19,1570
taz_2,taz_20,247
taz_2,taz_3,1276
taz_2,taz_31,141
taz_20,taz_0,938
taz_20,taz_1,815
taz_20,taz_19,1421
taz_20,taz_2,171
taz_20,taz_3,597
taz_20,taz_31,736
taz_21,taz_1,1620
taz_21,taz_3,596
taz_3,taz_0,532
taz_3,taz_1,1048
taz_3,taz_19,983
taz_3,taz_2,1405
taz_3,taz_20,1319
taz_3,taz_21,1064
taz_31,taz_0,764
taz_31,taz_19,320
taz_31,taz_2,397
taz_31,taz_20,1514
taz_85,taz_1,1648
