fromTaz,toTaz,flow
taz_0,taz_1,137
taz_0,taz_10,258
taz_0,taz_100,304
taz_0,taz_101,1681
taz_0,taz_11,1216
taz_0,taz_12,1033
taz_0,taz_13,1905
taz_0,taz_14,1165
taz_0,taz_15,1211
taz_0,taz_16,115
taz_0,taz_17,1884
taz_0,taz_18,1337
taz_0,taz_19,867
taz_0,taz_2,1752
taz_0,taz_20,1494
taz_0,taz_21,547
taz_0,taz_22,947
taz_0,taz_23,1563
taz_0,taz_24,151
taz_0,taz_25,495
taz_0,taz_26,1452
taz_0,taz_27,1331
taz_0,taz_28,332
taz_0,taz_29,637
taz_0,taz_3,1186
taz_0,taz_30,6
taz_0,taz_31,39
taz_0,taz_32,376
taz_0,taz_33,342
taz_0,taz_34,444
taz_0,taz_35,916
taz_0,taz_36,774
taz_0,taz_37,578
taz_0,taz_38,557
taz_0,taz_39,1922
taz_0,taz_4,228
taz_0,taz_40,368
taz_0,taz_41,295
taz_0,taz_42,957
taz_0,taz_43,676
taz_0,taz_44,1958
taz_0,taz_45,916
taz_0,taz_46,326
taz_0,taz_47,1859
taz_0,taz_48,1031
taz_0,taz_49,833
taz_0,taz_5,961
taz_0,taz_50,999
taz_0,taz_51,454
taz_0,taz_52,465
taz_0,taz_53,1842
taz_0,taz_54,754
taz_0,taz_55,663
taz_0,taz_56,35
taz_0,taz_57,872
taz_0,taz_58,1153
taz_0,taz_59,879
taz_0,taz_6,1635
taz_0,taz_60,594
taz_0,taz_61,1662
taz_0,taz_62,717
taz_0,taz_63,1135
taz_0,taz_64,1514
taz_0,taz_65,546
taz_0,taz_66,152
taz_0,taz_67,760
taz_0,taz_68,1031
taz_0,taz_69,1221
taz_0,taz_7,1391
taz_0,taz_70,180
taz_0,taz_71,35
taz_0,taz_72,1306
taz_0,taz_73,1910
taz_0,taz_74,1937
taz_0,taz_75,801
taz_0,taz_76,905
taz_0,taz_77,466
taz_0,taz_78,316
taz_0,taz_79,595
taz_0,taz_8,9
taz_0,taz_80,31
taz_0,taz_81,50
taz_0,taz_82,579
taz_0,taz_83,1274
taz_0,taz_84,1265
taz_0,taz_85,1104
taz_0,taz_86,85
taz_0,taz_87,620
taz_0,taz_88,33
taz_0,taz_89,1299
taz_0,taz_9,1012
taz_0,taz_91,1889
taz_0,taz_92,317
taz_0,taz_93,746
taz_0,taz_94,1421
taz_0,taz_95,1455
taz_0,taz_96,1156
taz_0,taz_97,1473
taz_0,taz_98,160
taz_0,taz_99,1895
taz_1,taz_0,1610
taz_1,taz_10,567
taz_1,taz_100,1566
taz_1,taz_101,974
taz_1,taz_11,954
taz_1,taz_12,1337
taz_1,taz_13,807
taz_1,taz_14,1035
taz_1,taz_15,1211
taz_1,taz_16,23
taz_1,taz_17,158
taz_1,taz_18,503
taz_1,taz_19,1247
taz_1,taz_2,1867
taz_1,taz_20,642
taz_1,taz_21,773
taz_1,taz_22,1488
taz_1,taz_23,1775
taz_1,taz_24,1508
taz_1,taz_25,543
taz_1,taz_26,1051
taz_1,taz_27,393
taz_1,taz_28,645
taz_1,taz_29,917
taz_1,taz_3,908
taz_1,taz_30,942
taz_1,taz_31,1752
taz_1,taz_32,586
taz_1,taz_33,1395
taz_1,taz_34,301
taz_1,taz_35,759
taz_1,taz_36,1451
taz_1,taz_37,575
taz_1,taz_38,816
taz_1,taz_39,1129
taz_1,taz_4,1616
taz_1,taz_40,653
taz_1,taz_41,120
taz_1,taz_42,1308
taz_1,taz_43,126
taz_1,taz_44,1214
taz_1,taz_45,1691
taz_1,taz_46,1529
taz_1,taz_47,1558
taz_1,taz_48,1182
taz_1,taz_49,365
taz_1,taz_5,555
taz_1,taz_50,1835
taz_1,taz_51,1345
taz_1,taz_52,773
taz_1,taz_53,1005
taz_1,taz_54,1908
taz_1,taz_55,729
taz_1,taz_56,997
taz_1,taz_57,1292
taz_1,taz_58,1709
taz_1,taz_59,1601
taz_1,taz_6,1117
taz_1,taz_60,1309
taz_1,taz_61,1380
taz_1,taz_62,1049
taz_1,taz_63,1426
taz_1,taz_64,538
taz_1,taz_65,407
taz_1,taz_66,518
taz_1,taz_67,512
taz_1,taz_68,1593
taz_1,taz_69,1349
taz_1,taz_7,663
taz_1,taz_70,822
taz_1,taz_71,1031
taz_1,taz_72,1145
taz_1,taz_73,1866
taz_1,taz_74,683
taz_1,taz_75,1451
taz_1,taz_76,1685
taz_1,taz_77,136
taz_1,taz_78,1938
taz_1,taz_79,1117
taz_1,taz_8,713
taz_1,taz_80,1816
taz_1,taz_81,502
taz_1,taz_82,1214
taz_1,taz_83,1245
taz_1,taz_84,1713
taz_1,taz_85,688
taz_1,taz_86,55
taz_1,taz_87,579
taz_1,taz_88,1101
taz_1,taz_89,1954
taz_1,taz_9,141
taz_1,taz_91,27
taz_1,taz_92,323
taz_1,taz_93,1979
taz_1,taz_94,1690
taz_1,taz_95,1961
taz_1,taz_96,1766
taz_1,taz_97,1509
taz_1,taz_98,1840
taz_1,taz_99,320
taz_10,taz_0,1301
taz_10,taz_1,456
taz_10,taz_100,355
taz_10,taz_101,1288
